scientific_name,park_name,observations
Amsinckia lycopsoides,Great Smoky Mountains National Park,74
Rubus suus,Great Smoky Mountains National Park,76
Symphyotrichum shortii,Yellowstone National Park,256
Aristida purpurascens,Great Smoky Mountains National Park,48
Epilobium ciliatum,Bryce National Park,79
Carya carolinae-septentrionalis,Great Smoky Mountains National Park,55
Luzula bulbosa,Bryce National Park,82
Lomatium ambiguum,Yellowstone National Park,256
Rhizomnium punctatum,Great Smoky Mountains National Park,76
Symphyotrichum laeve var. laeve,Bryce National Park,77
Eleocharis tenuis var. verrucosa,Bryce National Park,108
Pylaisiella intricata,Yosemite National Park,122
Rosa multiflora,Yellowstone National Park,276
Hybanthus concolor,Yosemite National Park,175
Juncus occidentalis,Yosemite National Park,109
Entodon sullivantii,Bryce National Park,85
Cichorium intybus,Great Smoky Mountains National Park,100
Rorippa palustris ssp. fernaldiana,Yosemite National Park,137
Cymophyllus fraserianus,Bryce National Park,144
Carex albicans,Yosemite National Park,148
Salix farriae,Yellowstone National Park,266
Nassella viridula,Great Smoky Mountains National Park,127
Anaphalis margaritacea,Yosemite National Park,133
Rhododendron carolinianum,Bryce National Park,83
Melissa officinalis,Bryce National Park,99
Chenopodium leptophyllum,Great Smoky Mountains National Park,32
Calochortus eurycarpus,Bryce National Park,107
Podophyllum peltatum,Bryce National Park,81
Hylocichla mustelina,Bryce National Park,111
Brachydontium trichodes,Yellowstone National Park,233
Carex kraliana,Yellowstone National Park,227
Cirriphyllum piliferum,Yosemite National Park,148
Aristida purpurea var. longiseta,Yellowstone National Park,284
Bos bison,Bryce National Park,68
Verbena brasiliensis,Bryce National Park,116
Dioscorea oppositifolia,Yosemite National Park,161
Eurycea,Bryce National Park,81
Hedwigia ciliata,Yellowstone National Park,265
Leucodon julaceus,Yosemite National Park,180
Wyethia amplexicaulis,Yosemite National Park,163
Dodecatheon subalpinum,Great Smoky Mountains National Park,71
Scirpus tabernaemontani,Yellowstone National Park,240
Salix brachycarpa ssp. brachycarpa,Bryce National Park,103
Prunus avium,Yellowstone National Park,276
Catostomus platyrhynchus,Yosemite National Park,143
Mephitis mephitis,Bryce National Park,113
Platygyrium repens,Yellowstone National Park,224
Elodea canadensis,Yellowstone National Park,222
Penthorum sedoides,Bryce National Park,105
Eragrostis frankii,Bryce National Park,107
Iris hartwegii ssp. hartwegii,Bryce National Park,113
Ranunculus flammula var. reptans,Bryce National Park,91
Artemisia tridentata ssp. tridentata,Bryce National Park,93
Aralia nudicaulis,Yosemite National Park,171
Mirabilis linearis,Yosemite National Park,139
Penstemon heterodoxus,Bryce National Park,94
Campanulastrum americanum,Great Smoky Mountains National Park,35
Calamagrostis stricta,Yellowstone National Park,241
Castor canadensis,Bryce National Park,105
Chorizanthe membranacea,Bryce National Park,136
Paronychia fastigiata,Bryce National Park,91
Geum rossii var. turbinatum,Yellowstone National Park,241
Procyon lotor,Great Smoky Mountains National Park,63
Epilobium densiflorum,Yellowstone National Park,260
Ribes nevadense,Yosemite National Park,131
Plagiomnium carolinianum,Yellowstone National Park,234
Trifolium wormskioldii,Yosemite National Park,166
Smilax rotundifolia,Yellowstone National Park,267
Podophyllum peltatum,Yosemite National Park,154
Eriogonum ovalifolium var. nivale,Yellowstone National Park,262
Carex appalachica,Yellowstone National Park,218
Capsella bursa-pastoris,Yosemite National Park,138
Oporornis formosus,Yellowstone National Park,278
Dryopteris campyloptera,Yellowstone National Park,244
Sorex lyelli,Bryce National Park,104
Senecio integerrimus var. major,Great Smoky Mountains National Park,74
Filipendula rubra,Yosemite National Park,145
Castilleja minor ssp. spiralis,Yosemite National Park,154
Campylopus pilifer,Yellowstone National Park,240
Carex leptalea,Yellowstone National Park,251
Anas acuta,Great Smoky Mountains National Park,61
Brachyelytrum septentrionale,Great Smoky Mountains National Park,91
Berteroa incana,Yellowstone National Park,242
Scutellaria integrifolia,Yellowstone National Park,216
Tringa flavipes,Bryce National Park,102
Phyla lanceolata,Great Smoky Mountains National Park,73
Carex incurviformis var. danaensis,Great Smoky Mountains National Park,81
Delphinium gracilentum,Yosemite National Park,159
Rosa californica,Yellowstone National Park,285
Poa alsodes,Bryce National Park,104
Atriplex hortensis,Great Smoky Mountains National Park,93
Lepidium virginicum var. pubescens,Yellowstone National Park,232
Eriogonum umbellatum var. umbellatum,Bryce National Park,81
Phacelia bipinnatifida,Yellowstone National Park,240
Gymnogyps californianus,Yosemite National Park,47
Setaria pumila,Great Smoky Mountains National Park,82
Galeopsis ladanum,Bryce National Park,122
Barbarea verna,Great Smoky Mountains National Park,91
Ranunculus acris,Yellowstone National Park,263
Tradescantia subaspera var. montana,Bryce National Park,106
Eriogonum prattenianum var. avium,Yosemite National Park,161
Microsteris gracilis var. humilior,Yellowstone National Park,222
Sorex preblei,Bryce National Park,71
Silene latifolia ssp. alba,Yellowstone National Park,273
Calochortus venustus,Bryce National Park,78
Microsteris gracilis var. humilior,Yosemite National Park,129
Nemacladus interior,Yellowstone National Park,230
Prunus persica,Yosemite National Park,127
Penstemon laevigatus,Great Smoky Mountains National Park,49
Cryptotis parva,Yosemite National Park,152
Lindernia dubia var. anagallidea,Great Smoky Mountains National Park,70
Plethodon oconaluftee,Yellowstone National Park,200
Phacelia dubia var. dubia,Yosemite National Park,138
Centaurium venustum,Bryce National Park,107
Draba breweri,Bryce National Park,100
Piperia unalascensis,Yellowstone National Park,233
Philonotis fontana var. pumila,Bryce National Park,107
Helianthus giganteus,Great Smoky Mountains National Park,68
Sibara virginica,Yosemite National Park,142
Heracleum lanatum,Great Smoky Mountains National Park,96
Lonicera conjugialis,Bryce National Park,119
Trifolium haydenii,Bryce National Park,100
Lomatium cous,Bryce National Park,98
Potentilla diversifolia var. perdissecta,Bryce National Park,74
Prunella vulgaris,Bryce National Park,88
Eriogonum flavum var. flavum,Yellowstone National Park,280
Geum vernum,Yellowstone National Park,228
Salix nigra,Yosemite National Park,159
Spea bombifrons,Yosemite National Park,147
Solidago puberula,Bryce National Park,63
Mycteria americana,Yosemite National Park,175
Dodecatheon pulchellum var. pulchellum,Yellowstone National Park,254
Luzula acuminata var. acuminata,Great Smoky Mountains National Park,77
Quercus bicolor,Bryce National Park,96
Rosa arkansana,Yellowstone National Park,277
Rana sylvatica,Yellowstone National Park,264
Uvularia grandiflora,Great Smoky Mountains National Park,81
Zizia aptera,Bryce National Park,112
Myotis leibii,Great Smoky Mountains National Park,49
Synaptomys cooperi stonei,Yellowstone National Park,236
Agrostis gigantea,Yosemite National Park,148
Danthonia spicata,Bryce National Park,82
Moxostoma erythrurum,Yellowstone National Park,246
Ericameria nauseosa var. oreophila,Yellowstone National Park,279
Physaria acutifolia var. acutifolia,Yosemite National Park,174
Pseudostellaria jamesiana,Yosemite National Park,125
Salix reticulata ssp. nivalis,Great Smoky Mountains National Park,110
Glyceria grandis,Great Smoky Mountains National Park,85
Polygonum douglasii ssp. johnstonii,Bryce National Park,74
Selaginella watsonii,Yellowstone National Park,239
Narcissus poeticus,Great Smoky Mountains National Park,92
Racomitrium microcarpon,Yosemite National Park,165
Eurycea lucifuga,Great Smoky Mountains National Park,58
Seiurus aurocapillus,Yellowstone National Park,270
Tipularia discolor,Yosemite National Park,152
Ribes cereum var. pedicellare,Yosemite National Park,179
Polypodium virginianum,Great Smoky Mountains National Park,88
Aesculus sylvatica,Great Smoky Mountains National Park,69
Ribes cynosbati,Bryce National Park,64
Eleocharis quadrangulata,Yosemite National Park,169
Robinia hispida var. kelseyi,Bryce National Park,136
Rhamnus rubra,Great Smoky Mountains National Park,88
Artemisia biennis var. biennis,Yellowstone National Park,252
Antennaria parvifolia,Great Smoky Mountains National Park,68
Medeola virginiana,Great Smoky Mountains National Park,66
Thamnophis couchii,Yosemite National Park,187
Vireo olivaceus,Great Smoky Mountains National Park,72
Antennaria rosea ssp. confinis,Great Smoky Mountains National Park,43
Amaranthus californicus,Yellowstone National Park,274
Bucephala albeola,Bryce National Park,87
Trisetum wolfii,Yellowstone National Park,265
Cirsium altissimum,Yellowstone National Park,263
Penstemon heterodoxus var. heterodoxus,Yellowstone National Park,236
Panicum rigidulum,Yosemite National Park,119
Valerianella radiata,Yellowstone National Park,267
Funaria flavicans,Yosemite National Park,147
Solidago gigantea,Bryce National Park,116
Ericameria discoidea,Great Smoky Mountains National Park,71
Fraxinus quadrangulata,Yosemite National Park,146
Catherpes mexicanus,Yellowstone National Park,229
Gentianopsis holopetala,Yellowstone National Park,254
Barbula unguiculata,Bryce National Park,113
Stellaria nitens,Great Smoky Mountains National Park,55
Sida spinosa,Bryce National Park,84
Bison bison,Yosemite National Park,192
Spilogale putorius,Yosemite National Park,141
Mertensia alpina,Great Smoky Mountains National Park,87
Thamnophis sirtalis sirtalis,Yellowstone National Park,260
Betula pendula,Yosemite National Park,131
Juncus interior,Great Smoky Mountains National Park,87
Bromus inermis,Great Smoky Mountains National Park,86
Lycopodium annotinum,Bryce National Park,99
Angelica venenosa,Bryce National Park,97
Ammannia coccinea,Great Smoky Mountains National Park,76
Lobelia spicata var. leptostachys,Bryce National Park,94
Symphoricarpos occidentalis,Bryce National Park,104
Cyperus iria,Yosemite National Park,109
Gratiola viscidula,Yosemite National Park,175
Carex trichocarpa,Bryce National Park,107
Racomitrium aciculare,Yellowstone National Park,234
Paronychia canadensis,Yellowstone National Park,254
Chenopodium pratericola,Bryce National Park,56
Ctenidium malacodes,Yosemite National Park,149
Carex scopulorum,Yosemite National Park,140
Monolopia major,Great Smoky Mountains National Park,101
Menyanthes trifoliata,Yellowstone National Park,287
Heliopsis helianthoides,Yellowstone National Park,217
Muhlenbergia filiformis,Yellowstone National Park,268
Caracara cheriway,Yosemite National Park,180
Eriogonum cernuum var. cernuum,Bryce National Park,108
Mertensia ciliata,Yellowstone National Park,252
Aralia californica,Yellowstone National Park,241
Elymus glaucus ssp. jepsonii,Great Smoky Mountains National Park,95
Silene bridgesii,Yellowstone National Park,227
Cratoneuron filicinum,Bryce National Park,96
Vermivora bachmanii,Yosemite National Park,45
Boehmeria cylindrica,Great Smoky Mountains National Park,125
Sterna paradisaea,Great Smoky Mountains National Park,72
Lonicera canadensis,Yosemite National Park,123
Eumeces anthracinus,Yosemite National Park,159
Hieracium scabrum,Bryce National Park,91
Elanus leucurus,Yellowstone National Park,214
Vitis californica,Great Smoky Mountains National Park,54
Plagiobothrys torreyi var. torreyi,Yellowstone National Park,231
Limosella aquatica,Yellowstone National Park,251
Helianthemum propinquum,Bryce National Park,114
Lomatium dissectum var. dissectum,Yellowstone National Park,236
Catostomus occidentalis,Yellowstone National Park,275
Aristolochia serpentaria,Yosemite National Park,160
Hymenocallis caroliniana,Great Smoky Mountains National Park,42
Hesperochiron californicus,Bryce National Park,109
Actitis macularia,Yellowstone National Park,265
Draba oligosperma,Yellowstone National Park,234
Anagallis arvensis,Yosemite National Park,156
Cyprinella venustus,Great Smoky Mountains National Park,67
Entodon seductrix,Yosemite National Park,165
Carex lupulina,Yosemite National Park,144
Potentilla canadensis,Great Smoky Mountains National Park,72
Mentzelia albicaulis,Great Smoky Mountains National Park,105
Chorizanthe membranacea,Great Smoky Mountains National Park,41
Butorides virescens,Yosemite National Park,157
Rhododendron canescens,Great Smoky Mountains National Park,111
Spiraea vanhouttei,Bryce National Park,108
Draba paysonii var. treleasii,Yellowstone National Park,247
Notropis rubricroceus,Yosemite National Park,163
Botrychium jenmanii,Yosemite National Park,131
Milium effusum,Yosemite National Park,142
Plantago erecta,Great Smoky Mountains National Park,84
Stuckenia vaginata,Great Smoky Mountains National Park,44
Veronica persica,Great Smoky Mountains National Park,116
Plethodon aureolus,Great Smoky Mountains National Park,69
Eleocharis parishii,Bryce National Park,87
Leucanthemum vulgare,Yellowstone National Park,242
Tilia americana var. heterophylla,Great Smoky Mountains National Park,55
Ammodramus henslowii,Yosemite National Park,149
Quercus kelloggii,Yosemite National Park,130
Ranunculus hispidus var. hispidus,Yosemite National Park,171
Adenocaulon bicolor,Great Smoky Mountains National Park,97
Archilochus alexandri,Yosemite National Park,129
Symphyotrichum cordifolium,Bryce National Park,95
Polygonum sagittatum,Yosemite National Park,138
Angelica triquinata,Yosemite National Park,145
Iris pseudacorus,Bryce National Park,86
Crassula solierii,Yellowstone National Park,249
Fraxinus latifolia,Bryce National Park,81
Navarretia divaricata ssp. vividior,Great Smoky Mountains National Park,110
Panax quinquefolius,Yellowstone National Park,259
Centaurea diffusa,Yosemite National Park,141
Rhizomnium magnifolium,Yosemite National Park,187
Diphyscium cumberlandianum,Great Smoky Mountains National Park,51
Storeria dekayi dekayi,Yosemite National Park,121
Alopecurus pratensis,Yosemite National Park,149
Schoenoplectus acutus var. occidentalis,Yosemite National Park,116
Desmodium nudiflorum,Great Smoky Mountains National Park,98
Agoseris lackschewitzii,Bryce National Park,94
Clasmatodon parvulus,Yosemite National Park,167
Allium obtusum var. conspicuum,Bryce National Park,113
Veronica persica,Bryce National Park,101
Sphagnum capillifolium,Bryce National Park,109
Cynodon dactylon,Yosemite National Park,184
Psilocarphus oregonus,Yellowstone National Park,232
Stellaria longifolia,Bryce National Park,127
Salix jepsonii,Yosemite National Park,191
Calandrinia ciliata,Yellowstone National Park,240
Hedysarum alpinum var. americanum,Bryce National Park,78
Sphagnum affine,Great Smoky Mountains National Park,108
Mergus serrator,Yellowstone National Park,284
Anastrophyllum minutum,Great Smoky Mountains National Park,97
Atriplex canescens var. canescens,Yellowstone National Park,241
Spinus lawrencei,Yosemite National Park,170
Dicranodontium asperulum,Yosemite National Park,163
Diphyscium cumberlandianum,Bryce National Park,93
Fundulus catenatus,Bryce National Park,87
Cucurbita pepo,Yellowstone National Park,247
Glyceria borealis,Yosemite National Park,174
Arabis repanda var. repanda,Bryce National Park,89
Hylocomiastrum umbratum,Yosemite National Park,149
Ambrosia trifida,Yosemite National Park,123
Vinca major,Yellowstone National Park,248
Centrosema virginianum,Yellowstone National Park,235
Anas platyrhynchos,Yosemite National Park,161
Crepis modocensis,Yellowstone National Park,189
Melospiza lincolnii,Bryce National Park,80
Vulpia microstachys var. pauciflora,Yellowstone National Park,228
Carex plantaginea,Great Smoky Mountains National Park,102
Polygonum hydropiperoides,Great Smoky Mountains National Park,38
Calamagrostis coarctata,Bryce National Park,110
Chamomilla suaveolens,Yosemite National Park,171
Arabis hirsuta var. pycnocarpa,Great Smoky Mountains National Park,92
Erigeron caespitosus,Bryce National Park,93
Lepidium virginicum var. pubescens,Bryce National Park,124
Cryptantha glomeriflora,Bryce National Park,77
Trifolium oliganthum,Bryce National Park,86
Pinus,Yellowstone National Park,248
Cynosurus echinatus,Yellowstone National Park,246
Setophaga coronata,Yosemite National Park,161
Melica imperfecta,Great Smoky Mountains National Park,80
Acalypha gracilens,Great Smoky Mountains National Park,98
Viola adunca,Yosemite National Park,136
Lactuca floridana,Yellowstone National Park,266
Ranunculus eschscholtzii var. eschscholtzii,Bryce National Park,82
Maianthemum stellatum,Yellowstone National Park,286
Woodsia obtusa,Yosemite National Park,143
Clemmys muhlenbergii,Great Smoky Mountains National Park,108
Loxia curvirostra,Great Smoky Mountains National Park,47
Cacalia muhlenbergii,Great Smoky Mountains National Park,115
Chimaphila maculata,Yellowstone National Park,243
Zonotrichia leucophrys gambelii,Great Smoky Mountains National Park,87
Solidago multiradiata,Great Smoky Mountains National Park,69
Balsamorhiza deltoidea,Bryce National Park,133
Bryhnia novae-angliae,Yellowstone National Park,237
Castilleja foliolosa,Yellowstone National Park,277
Pseudognaphalium obtusifolium ssp. obtusifolium,Great Smoky Mountains National Park,80
Phenacobius catostomus,Yosemite National Park,165
Vicia villosa ssp. varia,Yellowstone National Park,236
Cyperus lancastriensis,Bryce National Park,79
Lanius excubitor,Yosemite National Park,133
Aquila chrysaetos,Great Smoky Mountains National Park,65
Viola canadensis var. corymbosa,Great Smoky Mountains National Park,75
Scolochloa festucacea,Yosemite National Park,155
Polygonatum pubescens,Yosemite National Park,160
Penstemon whippleanus,Yosemite National Park,167
Andropogon virginicus,Yellowstone National Park,224
Cryptotis parva,Yellowstone National Park,277
Epilobium latifolium,Bryce National Park,101
Campylium hispidulum,Great Smoky Mountains National Park,88
Astragalus whitneyi var. whitneyi,Great Smoky Mountains National Park,61
Aphanes microcarpa,Yosemite National Park,166
Carex intumescens,Yellowstone National Park,282
Lilium washingtonianum ssp. washingtonianum,Yellowstone National Park,231
Lampropeltis triangulum elapsoides,Bryce National Park,115
Polygonum douglasii var. douglasii,Yosemite National Park,130
Empidonax virescens,Bryce National Park,96
Nuttallanthus canadensis,Bryce National Park,103
Panicum flexile,Bryce National Park,99
Tradescantia subaspera var. montana,Great Smoky Mountains National Park,60
Spizella arborea,Bryce National Park,78
Rhododendron canescens,Bryce National Park,82
Sedum acre,Yosemite National Park,125
Spiranthes romanzoffiana,Yosemite National Park,145
Eriogonum incanum,Yellowstone National Park,265
Viola arvensis,Yosemite National Park,144
Carex atherodes,Yosemite National Park,142
Carya carolinae-septentrionalis,Yellowstone National Park,259
Cryptantha hispidula,Yellowstone National Park,247
Cardamine hirsuta,Bryce National Park,107
Artemisia michauxiana,Yosemite National Park,150
Dactylis glomerata,Yellowstone National Park,263
Juncus compressus,Yosemite National Park,177
Cyperus eragrostis,Yellowstone National Park,259
Podilymbus podiceps,Yosemite National Park,143
Polygonum hydropiper,Great Smoky Mountains National Park,35
Avena sativa,Yosemite National Park,161
Trichophorum caespitosum,Great Smoky Mountains National Park,111
Etheostoma blennioides,Yellowstone National Park,222
Cichorium intybus,Yellowstone National Park,266
Viburnum prunifolium,Great Smoky Mountains National Park,94
Lepidium perfoliatum,Yellowstone National Park,261
Microtus montanus,Yellowstone National Park,226
Empidonax virescens,Great Smoky Mountains National Park,70
Polymnia canadensis,Bryce National Park,81
Arabidopsis thaliana,Bryce National Park,93
Ampelopsis arborea,Bryce National Park,88
Setophaga palmarum,Yellowstone National Park,236
Nemophila pedunculata,Yellowstone National Park,234
Rudbeckia triloba,Bryce National Park,95
Etheostoma zonale,Great Smoky Mountains National Park,73
Salix caroliniana,Yosemite National Park,141
Calycadenia mollis,Great Smoky Mountains National Park,55
Vulpia microstachys var. confusa,Bryce National Park,92
Sylvilagus transitionalis,Yellowstone National Park,206
Carex debilis var. debilis,Great Smoky Mountains National Park,90
Corallorrhiza maculata,Yosemite National Park,112
Clematis virginiana,Bryce National Park,122
Nemophila maculata,Great Smoky Mountains National Park,83
Erigeron linearis,Yellowstone National Park,278
Viola arvensis,Yosemite National Park,164
Grimmia pilifera,Great Smoky Mountains National Park,52
Carex trichocarpa,Yosemite National Park,113
Oreortyx pictus,Yellowstone National Park,242
Kickxia elatine,Yellowstone National Park,229
Pyrularia pubera,Yellowstone National Park,251
Arrhenatherum elatius var. elatius,Great Smoky Mountains National Park,58
Clarkia rhomboidea,Yosemite National Park,173
Polygonum persicaria,Bryce National Park,70
Desmodium ciliare,Yellowstone National Park,265
Potamogeton foliosus ssp. fibrillosus,Bryce National Park,102
Eriogonum roseum,Yosemite National Park,138
Parthenocissus quinquefolia,Yellowstone National Park,269
Polygonum amphibium var. emersum,Yellowstone National Park,247
Hydrocotyle americana,Yosemite National Park,167
Hosta lancifolia,Yosemite National Park,144
Panicum gattingeri,Bryce National Park,82
Cinna latifolia,Yellowstone National Park,244
Aster occidentalis var. yosemitanus,Yellowstone National Park,258
Sorex palustris,Yellowstone National Park,234
Chenopodium album var. missouriense,Yellowstone National Park,232
Aristida oligantha,Great Smoky Mountains National Park,115
Astragalus vexilliflexus var. vexilliflexus,Great Smoky Mountains National Park,53
Arabis lyrata,Yosemite National Park,133
Decumaria barbara,Bryce National Park,82
Haemorhous purpureus,Great Smoky Mountains National Park,74
Aruncus dioicus,Yosemite National Park,171
Strix nebulosa,Yellowstone National Park,251
Tachycineta bicolor,Yosemite National Park,125
Acalypha gracilens,Yellowstone National Park,263
Populus X canescens,Bryce National Park,57
Poa pratensis ssp. pratensis,Bryce National Park,101
Anagallis arvensis,Yellowstone National Park,251
Disporum hookeri,Bryce National Park,92
Viola rotundifolia,Yellowstone National Park,224
Galium tinctorium,Bryce National Park,119
Panicum miliaceum,Bryce National Park,89
Paspalum pubiflorum var. glabrum,Yellowstone National Park,225
Sporobolus cryptandrus,Bryce National Park,117
Pterostegia drymarioides,Yosemite National Park,136
Ambystoma mavortium melanostictum,Great Smoky Mountains National Park,79
Juncus diffusissimus,Yosemite National Park,167
Elymus trachycaulus ssp. subsecundus,Bryce National Park,129
Decumaria barbara,Yosemite National Park,153
Orobanche uniflora,Yellowstone National Park,263
Symphyotrichum retroflexum,Bryce National Park,87
Silene vulgaris,Yosemite National Park,181
Passiflora incarnata,Bryce National Park,119
Urocyon cinereoargenteus,Great Smoky Mountains National Park,71
Danthonia spicata,Bryce National Park,97
Lyonia ligustrina,Yellowstone National Park,285
Symphyotrichum eatonii,Bryce National Park,104
Dodecatheon pulchellum var. pulchellum,Bryce National Park,98
Riparia riparia,Yellowstone National Park,226
Campostoma anomalum,Great Smoky Mountains National Park,60
Micropterus salmoides,Yellowstone National Park,240
Alnus incana ssp. tenuifolia,Bryce National Park,115
Cardamine clematitis,Bryce National Park,108
Vicia cracca ssp. cracca,Great Smoky Mountains National Park,91
Eurybia divaricata,Bryce National Park,90
Euphorbia mercurialina,Great Smoky Mountains National Park,90
Eupatorium rotundifolium var. ovatum,Yellowstone National Park,279
Silene drummondii var. drummondii,Great Smoky Mountains National Park,59
Pyrus communis,Great Smoky Mountains National Park,57
Carex projecta,Yosemite National Park,112
Passerella iliaca,Yellowstone National Park,278
Agrimonia pubescens,Great Smoky Mountains National Park,93
Hieracium aurantiacum,Yosemite National Park,184
Cryphaea nervosa,Yosemite National Park,169
Heterocladium macounii,Bryce National Park,102
Aster retroflexus,Bryce National Park,102
Ranunculus gmelinii,Great Smoky Mountains National Park,77
Epilobium halleanum,Yellowstone National Park,263
Juncus coriaceus,Yellowstone National Park,266
Bryum lisae,Great Smoky Mountains National Park,72
Phacelia heterophylla ssp. virgata,Yellowstone National Park,264
Krigia caespitosa,Bryce National Park,110
Dorosoma cepedianum,Yellowstone National Park,267
Agrimonia parviflora,Great Smoky Mountains National Park,78
Bulbostylis capillaris,Great Smoky Mountains National Park,72
Cerastium glomeratum,Yosemite National Park,132
Aesculus glabra,Yosemite National Park,163
Chenopodium ambrosioides,Yellowstone National Park,285
Carex texensis,Bryce National Park,75
Populus grandidentata,Yosemite National Park,143
Vitis californica,Yosemite National Park,164
Centrocercus urophasianus,Bryce National Park,100
Ampelopsis arborea,Yosemite National Park,152
Juncus interior,Bryce National Park,97
Lupinus andersonii,Yosemite National Park,168
Prunella vulgaris,Bryce National Park,119
Sambucus racemosa var. racemosa,Bryce National Park,142
Cerastium glomeratum,Great Smoky Mountains National Park,57
Silene vulgaris,Yellowstone National Park,227
Saponaria officinalis,Yosemite National Park,110
Piperia colemanii,Yellowstone National Park,226
Hydrastis canadensis,Bryce National Park,111
Lycopus asper,Bryce National Park,101
Eragrostis hirsuta,Great Smoky Mountains National Park,84
Sphenopholis intermedia,Yellowstone National Park,266
Vulpia octoflora,Great Smoky Mountains National Park,104
Sibbaldiopsis tridentata,Yosemite National Park,158
Seiurus noveboracensis,Yosemite National Park,152
Elaphe obsoleta obsoleta,Yellowstone National Park,232
Allium brevistylum,Yosemite National Park,168
Euphorbia dentata var. dentata,Great Smoky Mountains National Park,41
Aimophila ruficeps,Great Smoky Mountains National Park,51
Eptesicus fuscus,Great Smoky Mountains National Park,87
Galium bifolium,Yosemite National Park,159
Heterotheca camporum,Yellowstone National Park,239
Polygonatum pubescens,Yellowstone National Park,248
Hydromantes platycephalus,Yellowstone National Park,189
Alyssum alyssoides,Yosemite National Park,130
Calidris alpina,Great Smoky Mountains National Park,56
Tantilla coronata,Yosemite National Park,123
Sylvilagus audubonii,Bryce National Park,69
Astragalus canadensis,Bryce National Park,87
Zigadenus exaltatus,Bryce National Park,106
Ionactis linariifolius,Bryce National Park,91
Hazardia whitneyi var. whitneyi,Great Smoky Mountains National Park,87
Vinca major,Yosemite National Park,141
Hackelia mundula,Yellowstone National Park,255
Collinsia torreyi var. wrightii,Yosemite National Park,177
Carex densa,Yosemite National Park,137
Picoides pubescens,Yosemite National Park,144
Martes americana,Yosemite National Park,140
Digitaria ischaemum,Great Smoky Mountains National Park,23
Lysimachia nummularia,Bryce National Park,71
Eriogonum nudum var. deductum,Great Smoky Mountains National Park,62
Dendroica magnolia,Great Smoky Mountains National Park,80
Passiflora incarnata,Yellowstone National Park,289
Oxalis corniculata,Great Smoky Mountains National Park,91
Hypnum pallescens,Great Smoky Mountains National Park,96
Helianthus microcephalus,Yosemite National Park,127
Vaccinium angustifolium,Yosemite National Park,164
Iris laevigata,Bryce National Park,81
Erigeron algidus,Bryce National Park,91
Zizia aptera,Yosemite National Park,129
Lactuca hirsuta,Yellowstone National Park,249
Malacothrix floccifera,Great Smoky Mountains National Park,66
Leersia virginica,Bryce National Park,93
Vitis labrusca,Bryce National Park,102
Coccothraustes vespertinus,Great Smoky Mountains National Park,63
Atrichum crispum,Bryce National Park,138
Lycopodium clavatum,Bryce National Park,90
Lepomis megalotis,Yellowstone National Park,270
Erigeron annuus,Bryce National Park,91
Mimulus rubellus,Great Smoky Mountains National Park,102
Thomomys monticola,Yellowstone National Park,234
Juncus saximontanus,Bryce National Park,128
Hordeum murinum ssp. glaucum,Yellowstone National Park,273
Potentilla pseudosericea,Great Smoky Mountains National Park,83
Phlox drummondii,Bryce National Park,122
Onopordum acanthium,Yellowstone National Park,238
Polygala senega var. latifolia,Yosemite National Park,110
Juncus coriaceus,Great Smoky Mountains National Park,82
Thalictrum pubescens,Bryce National Park,158
Carex trisperma,Bryce National Park,104
Allium textile,Bryce National Park,105
Cyprinella venusta,Yellowstone National Park,214
Lepidium densiflorum,Great Smoky Mountains National Park,85
Galium lanceolatum,Yosemite National Park,149
Erigeron formosissimus var. viscidus,Yosemite National Park,121
Ruellia humilis,Yosemite National Park,145
Ranunculus hispidus var. hispidus,Yellowstone National Park,216
Antennaria rosea,Bryce National Park,109
Amaranthus retroflexus,Great Smoky Mountains National Park,21
Atriplex canescens var. canescens,Yosemite National Park,138
Mimulus breweri,Great Smoky Mountains National Park,64
Amianthium muscitoxicum,Yosemite National Park,120
Eleocharis acicularis,Yosemite National Park,170
Epilobium oreganum,Yellowstone National Park,212
Lemna valdiviana,Bryce National Park,85
Nothocalais nigrescens,Yellowstone National Park,259
Ursus arctos horribilis,Great Smoky Mountains National Park,50
Potentilla biennis,Great Smoky Mountains National Park,58
Lycopodiella inundata,Bryce National Park,104
Brachydontium trichodes,Great Smoky Mountains National Park,59
Forsythia viridissima,Great Smoky Mountains National Park,94
Myosotis macrosperma,Great Smoky Mountains National Park,60
Cornus amomum,Yosemite National Park,192
Fraxinus latifolia,Great Smoky Mountains National Park,79
Salix cascadensis,Yosemite National Park,143
Myotis austroriparius,Yosemite National Park,116
Ranunculus alismifolius var. davisii,Bryce National Park,71
Centaurea diffusa,Great Smoky Mountains National Park,104
Arisaema triphyllum ssp. triphyllum,Yosemite National Park,132
Cyperus rivularis,Yellowstone National Park,232
Achnatherum lettermanii,Yosemite National Park,129
Carex eburnea,Yosemite National Park,152
Sus scrofa,Yellowstone National Park,212
Datura stramonium,Bryce National Park,94
Setaria pumila,Bryce National Park,85
Penstemon laevigatus,Yosemite National Park,160
Epilobium brachycarpum,Great Smoky Mountains National Park,57
Triteleia laxa,Yosemite National Park,126
Hexalectris spicata,Yosemite National Park,127
Galium pilosum var. pilosum,Bryce National Park,127
Dichanthelium clandestinum,Yellowstone National Park,249
Rattus rattus,Bryce National Park,85
Juncus brevicaudatus,Bryce National Park,102
Crepis capillaris,Yellowstone National Park,235
Vaccinium cespitosum,Bryce National Park,111
